timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T16:02:39.059853,103.1,25.0,10.61,90.4
2026-04-15T16:02:40.061048,104.1,44.3,10.68,91.0
2026-04-15T16:02:41.062058,105.1,31.1,10.69,91.1
2026-04-15T16:02:42.063619,106.1,30.3,10.7,91.2
2026-04-15T16:02:43.064848,107.1,34.4,10.73,91.4
2026-04-15T16:02:44.065912,108.1,30.1,10.75,91.6
2026-04-15T16:02:45.067384,109.1,23.7,10.77,91.7
2026-04-15T16:02:46.068497,110.1,18.6,10.76,91.7
2026-04-15T16:02:47.070025,111.1,24.0,10.76,91.7
2026-04-15T16:02:48.071296,112.1,25.9,10.76,91.7
2026-04-15T16:02:49.072571,113.1,31.0,10.77,91.8
2026-04-15T16:02:50.073396,114.1,29.0,10.76,91.7
2026-04-15T16:02:51.074814,115.1,29.0,10.75,91.6
2026-04-15T16:02:52.076292,116.1,22.9,10.75,91.6
2026-04-15T16:02:53.077980,117.1,40.4,10.75,91.6
2026-04-15T16:02:54.079338,118.1,48.1,10.76,91.7
2026-04-15T16:02:55.080204,119.1,25.0,10.76,91.7
2026-04-15T16:02:56.081364,120.1,25.4,10.73,91.5
2026-04-15T16:02:57.082159,121.1,22.7,10.66,90.8
2026-04-15T16:02:58.084401,122.1,21.4,10.65,90.8
2026-04-15T16:02:59.085523,123.1,19.9,10.64,90.7
2026-04-15T16:03:00.086715,124.1,24.7,10.64,90.7
2026-04-15T16:03:01.087920,125.2,20.3,10.64,90.7
2026-04-15T16:03:02.088487,126.2,18.5,10.64,90.7
2026-04-15T16:03:03.089141,127.2,15.7,10.62,90.5
2026-04-15T16:03:04.090279,128.2,26.3,10.62,90.5
2026-04-15T16:03:05.091568,129.2,30.7,10.63,90.6
2026-04-15T16:03:06.092853,130.2,26.3,10.62,90.5
2026-04-15T16:03:07.094113,131.2,14.3,10.62,90.5
2026-04-15T16:03:08.095705,132.2,24.9,10.62,90.5
2026-04-15T16:03:09.097024,133.2,17.1,10.62,90.5
2026-04-15T16:03:10.098093,134.2,19.7,10.62,90.5
2026-04-15T16:03:11.099640,135.2,20.0,10.62,90.5
2026-04-15T16:03:12.100579,136.2,23.0,10.62,90.5
2026-04-15T16:03:13.101543,137.2,18.9,10.62,90.5
2026-04-15T16:03:14.102940,138.2,40.3,10.64,90.6
2026-04-15T16:03:15.103809,139.2,35.4,10.64,90.7
2026-04-15T16:03:16.104824,140.2,21.2,10.63,90.6
2026-04-15T16:03:17.106225,141.2,19.3,10.64,90.7
2026-04-15T16:03:18.106804,142.2,35.1,10.63,90.6
2026-04-15T16:03:19.107837,143.2,35.3,10.64,90.6
2026-04-15T16:03:20.109191,144.2,37.3,10.63,90.6
2026-04-15T16:03:21.110853,145.2,39.2,10.62,90.5
2026-04-15T16:03:22.112165,146.2,26.3,10.63,90.6
2026-04-15T16:03:23.113280,147.2,29.6,10.63,90.6
2026-04-15T16:03:24.114374,148.2,32.3,10.64,90.7
2026-04-15T16:03:25.115303,149.2,40.2,10.66,90.8
2026-04-15T16:03:26.116317,150.2,23.0,10.65,90.8
2026-04-15T16:03:27.117610,151.2,22.7,10.65,90.8
2026-04-15T16:03:28.118433,152.2,28.2,10.65,90.8
2026-04-15T16:03:29.119649,153.2,30.3,10.65,90.8
2026-04-15T16:03:30.121031,154.2,37.6,10.65,90.8
2026-04-15T16:03:31.122044,155.2,31.7,10.64,90.7
2026-04-15T16:03:32.123055,156.2,23.0,10.64,90.7
2026-04-15T16:03:33.124448,157.2,19.3,10.63,90.6
2026-04-15T16:03:34.126008,158.2,24.8,10.64,90.7
2026-04-15T16:03:35.127348,159.2,17.2,10.64,90.7
2026-04-15T16:03:36.128217,160.2,23.0,10.63,90.6
2026-04-15T16:03:37.129452,161.2,22.6,10.64,90.7
2026-04-15T16:03:38.130484,162.2,24.8,10.64,90.7
2026-04-15T16:03:39.131145,163.2,29.3,10.64,90.7
