timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T17:04:29.454345,100.6,42.5,11.06,94.3
2026-04-15T17:04:30.456528,101.6,42.6,11.05,94.2
2026-04-15T17:04:31.459008,102.6,51.2,11.05,94.2
2026-04-15T17:04:32.461002,103.6,46.3,11.05,94.2
2026-04-15T17:04:33.462723,104.6,46.0,11.05,94.2
2026-04-15T17:04:34.467555,105.6,51.5,11.04,94.1
2026-04-15T17:04:35.472250,106.6,55.2,11.05,94.2
2026-04-15T17:04:36.474528,107.6,55.7,11.05,94.2
2026-04-15T17:04:37.477087,108.6,67.9,11.0,93.8
2026-04-15T17:04:38.479362,109.6,53.2,11.0,93.7
2026-04-15T17:04:39.483046,110.6,57.7,11.0,93.8
2026-04-15T17:04:40.485474,111.6,49.6,11.0,93.7
2026-04-15T17:04:41.487867,112.6,45.1,11.0,93.8
2026-04-15T17:04:42.491984,113.6,50.6,11.0,93.8
2026-04-15T17:04:43.493976,114.6,48.7,11.0,93.8
2026-04-15T17:04:44.496309,115.6,46.7,11.0,93.8
2026-04-15T17:04:45.498882,116.6,55.9,11.01,93.8
2026-04-15T17:04:46.500961,117.6,52.7,11.01,93.8
2026-04-15T17:04:47.503483,118.6,56.2,11.03,94.0
2026-04-15T17:04:48.505544,119.6,63.2,11.03,94.0
2026-04-15T17:04:49.507710,120.6,51.4,11.01,93.8
2026-04-15T17:04:50.510417,121.6,48.6,11.01,93.9
2026-04-15T17:04:51.513027,122.6,49.9,11.02,93.9
2026-04-15T17:04:52.515114,123.6,47.8,11.0,93.7
2026-04-15T17:04:53.517741,124.6,53.0,10.99,93.7
2026-04-15T17:04:54.520109,125.6,50.1,10.99,93.7
2026-04-15T17:04:55.522107,126.6,43.9,10.99,93.7
2026-04-15T17:04:56.524654,127.6,43.0,10.99,93.7
2026-04-15T17:04:57.527164,128.6,44.6,10.99,93.7
2026-04-15T17:04:58.532181,129.7,42.6,11.0,93.7
2026-04-15T17:04:59.537054,130.7,50.2,11.0,93.7
2026-04-15T17:05:00.541564,131.7,44.2,11.0,93.7
2026-04-15T17:05:01.544034,132.7,40.8,10.99,93.7
2026-04-15T17:05:02.549537,133.7,46.2,10.99,93.7
2026-04-15T17:05:03.553623,134.7,49.4,10.99,93.7
2026-04-15T17:05:04.556142,135.7,55.5,10.99,93.6
2026-04-15T17:05:05.559420,136.7,42.7,10.99,93.7
2026-04-15T17:05:06.561780,137.7,55.1,10.99,93.7
2026-04-15T17:05:07.563937,138.7,55.1,11.01,93.8
2026-04-15T17:05:08.565788,139.7,44.0,11.0,93.8
2026-04-15T17:05:09.628080,140.7,63.3,10.99,93.7
2026-04-15T17:05:10.633752,141.8,51.3,11.0,93.7
2026-04-15T17:05:11.635395,142.8,45.9,11.0,93.7
2026-04-15T17:05:12.637318,143.8,44.5,11.0,93.8
2026-04-15T17:05:13.639140,144.8,42.1,11.0,93.8
2026-04-15T17:05:14.641175,145.8,46.0,11.0,93.8
2026-04-15T17:05:15.644888,146.8,43.6,11.0,93.8
2026-04-15T17:05:16.648935,147.8,50.7,11.0,93.7
2026-04-15T17:05:17.654198,148.8,48.8,10.99,93.7
2026-04-15T17:05:18.658113,149.8,45.8,11.0,93.7
2026-04-15T17:05:19.662139,150.8,48.4,10.99,93.6
2026-04-15T17:05:20.665547,151.8,39.9,10.98,93.6
2026-04-15T17:05:21.668238,152.8,39.6,10.99,93.7
2026-04-15T17:05:22.670763,153.8,42.9,10.98,93.6
2026-04-15T17:05:23.672674,154.8,40.4,10.99,93.7
2026-04-15T17:05:24.675639,155.8,43.2,10.99,93.7
2026-04-15T17:05:25.677931,156.8,40.8,10.98,93.6
